Welcome to the profile statistics browser.
profiling/profiling.data% profiling/profiling.data% Mon Jan  7 17:29:53 2019    profiling/profiling.data

         430080 function calls (421447 primitive calls) in 115.482 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      512    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
      887    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
      622    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
     1931    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
       53    0.001    0.000    0.003    0.000 /usr/lib/python3.6/abc.py:132(__new__)
     1481    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:843(__enter__)
      116    0.001    0.000    0.002    0.000 /usr/lib/python3.6/sre_compile.py:482(_compile_info)
        8    0.001    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:124(__new__)
     1116    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:111(__init__)
      116    0.001    0.000    0.034    0.000 /usr/lib/python3.6/sre_parse.py:844(parse)
      437    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        1    0.001    0.001    0.001    0.001 <string>:5(DefragResult)
      471    0.001    0.000    0.005    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:1144(copy)
      874    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     3295    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     1667    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:159(__len__)
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       10    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
      498    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
     2180    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/packaging/version.py:48(<lambda>)
     1761    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
      463    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_compile.py:388(_simple)
      491    0.000    0.000    0.158    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      282    0.000    0.000    0.002    0.000 /usr/lib/python3.6/site-packages/numpy/lib/function_base.py:3895(add_newdoc)
      294    0.000    0.000    0.002    0.000 /usr/lib/python3.6/enum.py:795(__or__)
      134    0.000    0.000    0.001    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:3219(__init__)
     1896    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      874    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      334    0.000    0.000    0.001    0.000 /usr/lib/python3.6/inspect.py:180(iscoroutinefunction)
      474    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      102    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/packaging/version.py:343(_cmpkey)
     1239    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       50    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
      512    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
      669    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
     1544    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
    589/5    0.000    0.000    0.772    0.154 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      437    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
   364/28    0.000    0.000    0.381    0.014 {built-in method builtins.__import__}
      198    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:294(_class_escape)
     2188    0.000    0.000    0.000    0.000 /usr/lib/python3.6/inspect.py:2483(name)
